num, from_date, days_in_period, interest_expected, principle_remaining, principle_expected, total_expected
256, 2041-03-16, 31, 554.2464127136, 162843.002082552, 3430.92173153500, 3985.16814424859
257, 2041-04-16, 30, 542.8100069418, 159400.643945246, 3442.35813730600, 3985.16814424780
258, 2041-05-16, 31, 531.3354798175, 155946.811280815, 3453.83266443101, 3985.16814424851
259, 2041-06-16, 30, 519.8227042694, 152481.465840836, 3465.34543997899, 3985.16814424839
260, 2041-07-16, 31, 508.2715528028, 149004.569249391, 3476.89659144499, 3985.16814424779
261, 2041-08-16, 31, 496.6818974980, 145516.083002640, 3488.48624675101, 3985.16814424901
262, 2041-09-16, 30, 485.0536100088, 142015.968468401, 3500.11453423899, 3985.16814424779
263, 2041-10-16, 31, 473.3865615613, 138504.186885714, 3511.78158268699, 3985.16814424829
264, 2041-11-16, 30, 461.6806229524, 134980.699364418, 3523.48752129602, 3985.16814424842
265, 2041-12-16, 31, 449.9356645481, 131445.466884718, 3535.23247970000, 3985.16814424810
266, 2042-01-16, 31, 438.1515562824, 127898.450296752, 3547.01658796599, 3985.16814424839
267, 2042-02-16, 28, 426.3281676558, 124339.610320160, 3558.83997659199, 3985.16814424779
268, 2042-03-16, 31, 414.4653677339, 120768.907543646, 3570.70277651401, 3985.16814424791
269, 2042-04-16, 30, 402.5630251455, 117186.302424543, 3582.60511910300, 3985.16814424850
270, 2042-05-16, 31, 390.6210080818, 113591.755288375, 3594.54713616800, 3985.16814424979
271, 2042-06-16, 30, 378.6391842946, 109985.226328423, 3606.52895995200, 3985.16814424660
272, 2042-07-16, 31, 366.6174210947, 106366.675605270, 3618.55072315301, 3985.16814424771
273, 2042-08-16, 31, 354.5555853509, 102736.063046372, 3630.61255889799, 3985.16814424889
274, 2042-09-16, 30, 342.4535434879, 99093.3484456118, 3642.71460076020, 3985.16814424810
275, 2042-10-16, 31, 330.3111614854, 95438.4914628487, 3654.85698276310, 3985.16814424850
276, 2042-11-16, 30, 318.1283048762, 91771.4516234766, 3667.03983937210, 3985.16814424830
277, 2042-12-16, 31, 305.9048387449, 88092.1883179729, 3679.26330550370, 3985.16814424860
278, 2043-01-16, 31, 293.6406277266, 84400.6608014514, 3691.52751652150, 3985.16814424810
279, 2043-02-16, 28, 281.3355360048, 80696.8281932080, 3703.83260824341, 3985.16814424821
280, 2043-03-16, 31, 268.9894273107, 76980.6494762704, 3716.17871693760, 3985.16814424830
281, 2043-04-16, 30, 256.6021649209, 73252.0834969431, 3728.56597932729, 3985.16814424819
282, 2043-05-16, 31, 244.1736116565, 69511.0889643510, 3740.99453259210, 3985.16814424860
283, 2043-06-16, 30, 231.7036298812, 65757.6244499842, 3753.46451436680, 3985.16814424800
284, 2043-07-16, 31, 219.1920814999, 61991.6483872361, 3765.97606274810, 3985.16814424800
285, 2043-08-16, 31, 206.6388279575, 58213.1190709451, 3778.52931629100, 3985.16814424850
286, 2043-09-16, 30, 194.0437302365, 54421.9946569332, 3791.12441401189, 3985.16814424840
287, 2043-10-16, 31, 181.4066488564, 50618.2331615412, 3803.76149539201, 3985.16814424841
288, 2043-11-16, 30, 168.7274438718, 46801.7924611648, 3816.44070037640, 3985.16814424820
289, 2043-12-16, 31, 156.0059748706, 42972.6302917872, 3829.16216937760, 3985.16814424820
